ID,COMUNE,PRO_COM
28,Bordighera,8008
29,Borgomaro,8010
30,Borgomaro,8010
31,Borgomaro,8010
32,Dolcedo,8030
33,Imperia,8031
34,Sanremo,8055
35,Sanremo,8055
36,Sanremo,8055
37,Sanremo,8055
38,Triora,8061
39,Triora,8061
40,Triora,8061
41,Triora,8061
42,Ventimiglia,8065
43,Ventimiglia,8065
44,La Spezia,11015
45,La Spezia,11015
46,La Spezia,11015
48,Monterosso,11019
49,Monterosso,11019
50,Portovenere,11022
51,Rocchetta di Vara,11025
52,Sarzana,11027
53,Varese Ligure,11029
54,Varese Ligure,11029
55,Varese Ligure,11029
56,Varese Ligure,11029
57,Varese Ligure,11029
58,Varese Ligure,11029
59,Vernazza,11030
60,Vernazza,11030
61,Altare,9005
62,Altare,9005
63,Bardineto,9009
64,Bardineto,9009
65,Bardineto,9009
66,Bormida,9014
67,Bormida,9014
68,Cairo Montenotte,9015
69,Cairo Montenotte,9015
70,Calice Ligure,9016
71,Calizzano,9017
72,Calizzano,9017
73,Celle Ligure,9022
74,Finale Ligure,9029
75,Finale Ligure,9029
76,Garlenda,9030
77,Giustenice,9031
78,Giustenice,9031
79,Mallare,9036
80,Mallare,9036
81,Piana Crixia,9048
82,Piana Crixia,9048
83,Pietra Ligure,9034
84,Pietra Ligure,9049
85,Pietra Ligure,9049
86,Rialto,9053
87,Sassello,9055
88,Savona,9056
89,Savona,9056
90,Savona,9056
91,Spotorno,9057
92,Urbe,9063
93,Zuccarello,9069
1,Albano Sant'Alessandro,16003
2,Albano Sant'Alessandro,16003
3,Casirate d'Adda,16059
4,Cisano Bergamasco,16074
5,Gorlago,16114
6,Lovere,16128
7,Lovere,16128
8,Roncobello,16184
9,Seriate,16198
10,Seriate,16198
11,Seriate,16198
12,Seriate,16198
13,Seriate,16198
14,Seriate,16198
15,Seriate,16198
16,Torre Boldone,16214
17,Torre Boldone,16214
18,Salò,17170
19,Toscolano Maderno,17187
20,Toscolano Maderno,17187
21,Toscolano Maderno,17187
22,Toscolano Maderno,17187
23,Como,13075
24,Como,13075
25,Como,13075
26,Como,13075
27,Como,13075
28,Como,13075
29,Como,13075
30,Como,13075
31,Como,13075
32,Como,13075
33,Como,13075
34,Como,13075
35,Como,13075
36,Calolziocorte,97013
37,Calolziocorte,97013
38,Curtatone,20021
39,Curtatone,20021
40,Curtatone,20030
41,Curtatone,20021
42,Marmirolo,20033
43,Bollate,15027
44,Bollate,15027
45,Cerro Maggiore,15072
46,Cerro Maggiore,15072
47,Cerro Maggiore,15072
48,Cerro Maggiore,15072
49,Cinisello Balsamo,15077
50,Cinisello Balsamo,15077
51,Cinisello Balsamo,15077
52,Cornaredo,15087
53,Gorgonzola,15108
54,Gorgonzola,15108
55,Gorgonzola,15108
56,Gorgonzola,15108
57,Gorgonzola,15108
58,Gorgonzola,15108
59,Legnano,15118
60,Legnano,15118
61,Milano,15146
62,Milano,15146
63,Milano,15146
64,Milano,15146
65,Milano,15146
66,Milano,15146
67,Milano,15146
68,Milano,15146
69,Milano,15146
70,Milano,15146
71,Milano,15146
72,Milano,15146
73,Milano,15146
74,Milano,15146
75,Milano,15146
76,Milano,15146
77,Milano,15146
78,Motta Visconti,15151
79,Motta Visconti,15151
80,Motta Visconti,15151
81,Motta Visconti,15151
82,Vaprio d'Adda,15230
83,Vimodrone,15242
84,Besana in Brianza,108008
85,Varedo,108045
86,Varedo,108045
87,Varedo,108045
88,Varedo,108045
89,Cura Carpignano,18060
90,Montebello della Battaglia,18095
91,Santa Cristina e Bissone,18139
92,Voghera,18182
93,Voghera,18182
94,Albosaggia,14002
95,Chiuro,14020
96,Ponte in Valtellina,14052
97,Sondrio,14061
98,Sondrio,14061
99,Talamona,14063
100,Talamona,14063
101,Valfurva,14073
102,Valfurva,14073
103,Villa di Tirano,14078
104,Villa di Tirano,14078
105,Barasso,12008
106,Barasso,12008
107,Cassano Magnago,12040
108,Cassano Magnago,12040
109,Cugliate Fabiasco,12059
110,Luino,12092
111,Luino,12092
112,Luino,12092
113,Olgiate Olona,12108
114,Olgiate Olona,12108
115,Somma Lombardo,12123
116,Somma Lombardo,12123
117,Somma Lombardo,12123
118,Somma Lombardo,12123
119,Somma Lombardo,12123
120,Somma Lombardo,12123
121,Tradate,12127
1,Agugliano,42001
2,Agugliano,42001
3,Arcevia,42003
4,Arcevia,42003
5,Camerano,42006
6,Castelplanio,42012
7,Cupramontana,42029
8,Fabriano,42017
9,Fabriano,42017
10,Fabriano,42017
11,Fabriano,42017
12,Fabriano,42017
13,Fabriano,42017
14,Fabriano,42017
15,Fabriano,42017
16,Fabriano,42017
17,Falconara Marittima,42018
18,Filottrano,42019
19,Filottrano,42019
20,Monte Roberto,42029
21,Montemarciano,42027
22,Morro d'Alba,42031
23,Osimo,42034
24,Osimo,42034
25,San Marcello,42041
26,Sassoferrato,42044
27,Sassoferrato,42044
28,Sassoferrato,42044
29,Senigallia,42045
30,Senigallia,42045
31,Serra de' Conti,42046
32,Sirolo,42048
33,Acquasanta Terme,44001
34,Acquasanta Terme,44001
35,Acquasanta Terme,44001
36,Acquasanta Terme,44001
37,Acquasanta Terme,67046
38,Acquasanta Terme,44001
39,Acquasanta Terme,44001
40,Arquata del Tronto,44006
41,Arquata del Tronto,44006
42,Ascoli Piceno,44007
43,Ascoli Piceno,44007
44,Ascoli Piceno,44007
45,Ascoli Piceno,44007
46,Ascoli Piceno,44007
47,Ascoli Piceno,44007
48,Ascoli Piceno,44007
49,Cossignano,44016
50,Montalto Marche,44032
51,Montegallo,44038
52,Montegallo,44038
53,Roccafluvione,44064
54,San Benedetto del Tronto,44066
55,Venarotta,44073
56,Falerone,109005
57,Falerone,109005
58,Fermo,109006
59,Fermo,109006
60,Fermo,109006
61,Fermo,109006
62,Monsampietro Morico,109012
63,Montefalcone Appennino,109014
64,Montefalcone Appennino,109014
65,Montefortino,109015
66,Montefortino,109015
67,Montefortino,109015
68,Montegiorgio,109017
69,Ortezzano,109029
70,Cessapalombo,43011
71,Cingoli,43012
72,Cingoli,43012
73,Cingoli,43012
74,Cingoli,43012
75,Cingoli,43012
76,Cingoli,43012
77,Fiuminata,54034
78,Mogliano,43025
79,Mogliano,43036
80,Pollenza,43041
81,Pollenza,43041
82,Potenza Picena,43043
83,Potenza Picena,43043
84,Potenza Picena,43043
85,Sefro,43050
86,Treia,43054
87,Barchi,41004
88,Barchi,41004
89,Fano,41013
90,Fano,41013
91,Fossombrone,41015
92,Lunano,41022
93,Macerata Feltria,41023
94,Mombaroccio,41027
95,Mondavio,41028
96,Mondavio,41028
97,Montefelcino,41034
98,Montelabbate,41036
99,Montelabbate,41036
100,Pergola,41043
101,Pesaro,41044
102,Pesaro,41044
103,Pesaro,41044
104,Pesaro,41044
105,Pesaro,41044
106,Pesaro,41044
107,Pesaro,41044
108,Piobbico,41049
109,Saltara,41050
110,Saltara,41050
111,San Lorenzo in Campo,41054
112,San Lorenzo in Campo,41054
113,Sassocorvaro,41059
114,Sassocorvaro,41059
115,Sassocorvaro,41059
116,Sassofeltrio,41060
117,Serra Sant'Abbondio,41061
118,Serra Sant'Abbondio,41061
119,Serrungarina,41062
120,Serrungarina,41062
121,Urbino,41067
122,Urbino,41067
123,Urbino,41067
1,Busso,70005
2,Campobasso,70006
3,Campobasso,70006
4,Campobasso,70006
5,Campobasso,70006
6,Campobasso,70006
7,Campolieto,70009
8,Casalciprano,70012
9,Duronia,70022
10,Portocannone,70055
11,Portocannone,70052
12,Roccavivara,70049
13,Roccavivara,70060
14,Salcito,70062
15,San Biase,70063
16,San Giovanni in Galdo ,70066
17,Sepino,70075
18,Sepino,70075
19,Trivento,70081
20,Trivento,70081
21,Trivento,70081
22,Trivento,70081
23,Trivento,70081
24,Trivento,70081
25,Trivento,70081
26,Trivento,70081
27,Trivento,70081
28,Trivento,70081
29,Trivento,70081
30,Trivento,70081
31,Belmonte del Sannio ,94004
32,Castelpizzuto ,94011
33,Castelverrino ,94013
34,Forli del Sannio,94020
35,Isernia,94023
36,Isernia,94023
37,Isernia,94024
38,Isernia,94023
39,Isernia,94023
40,Macchiagodena,94026
41,Pesche,94031
42,Pozzilli,94038
43,Pozzilli,94038
44,Rionero Sannitico,94039
45,Rionero Sannitico,94039
46,Rionero Sannitico,94039
47,Rionero Sannitico,94039
48,San Pietro Avellana,94043
49,San Pietro Avellana,94043
50,San Pietro Avellana,94043
51,Vastogirardi,94051
1,Acqui Terme,6001
2,Acqui Terme,6001
3,Alessandria,6003
4,Arquata scrivia,6009
5,Avolasca,6010
6,Avolasca,6010
7,Castelnuovo Scrivia,6053
8,Coniolo,6060
9,Fresonara,6074
10,Mirabello Monferrato,6094
11,Novi Ligure,6114
12,Pomaro Monferrato,6131
13,Tassarolo,6170
14,Valmacca,6178
15,Vignale Monferrato,6179
16,Volpedo,6188
17,Asti,5005
18,Berzano S. Pietro,5009
20,Casorzo ,5020
21,Casorzo,5020
22,Cocconato,5042
23,Fontanile,5054
24,Rocchetta Tanaro,5096
25,Rocchetta Tanaro,5096
26,Biella,96004
27,Biella,96004
28,Biella,96004
29,Biella,96004
30,Bioglio,96074
31,Bioglio,96005
32,Pollone,96046
33,Pollone,96046
34,Alba,4003
35,Alba,4003
36,Bagnasco,4008
37,Bra,4029
38,Bra,4029
39,Casteldelfino,4047
40,Cavallermaggiore,4059
41,Cavallermaggiore,4059
42,Cavallermaggiore,4059
43,Cavallermaggiore,4059
44,Cherasco,4067
45,Chiusa di Pesio,4068
46,Demonte,4079
47,Dogliani,4081
48,Dronero,4082
49,Entracque,4084
50,Farigliano,4086
51,Garessio,4159
52,Melle,4122
53,Moiola,4123
54,Monterosso Grana,4139
55,Monteu Roero ,4140
56,Oncino,4154
57,Ormea,4155
58,Pietraporzio,4167
59,Piobesi d'Alba,4003
60,Racconigi,4179
61,Roccavione ,4192
62,Savigliano,4215
63,Serravalle Langhe,4219
64,Valdieri,4233
65,Vernante,4239
66,Vernante,4239
67,Arona,3008
68,Casalbeltrame,3037
69,Comignago,3052
70,Dormelletto,3062
71,Novara,3106
72,Novara,3106
73,Novara,3106
74,Aglié,1001
75,Angrogna,1011
76,Baldissero Torinese,1018
77,Bardonecchia,1022
78,Bibiana,1025
79,Caluso,1047
80,Campiglione Fenile,1049
81,Campiglione Fenile,1049
82,Campiglione Fenile,1049
83,Campiglione Fenile,1049
84,Casalborgone,1060
85,Castagneto Po,1064
86,Castagneto Po,1064
87,Castagneto Po,1064
88,Castagneto Po,1064
89,Cumiana,1097
90,Cumiana,1097
91,Cumiana,1097
92,Druento,1099
93,Druento,1099
94,Fenestrelle,1103
95,Fenestrelle,1103
96,Fenestrelle,1103
97,Giaglione,1114
98,Ivrea,1125
99,Mompantero,1270
100,Moncenisio,1157
101,Moncenisio,1157
102,Moncalieri,1156
103,Montalenghe ,1159
104,Montalto Dora,1160
105,Nichelino,1164
106,Nichelino,1164
107,Oulx,1175
108,Oulx,1175
109,Oulx,1175
110,Pinerolo,1191
111,Porte,1200
112,Rivalta,1214
113,Rivara,1216
114,Rivara,1216
115,Rivara,1216
116,Rora',1226
117,San Sebastiano Po,1253
118,Santena,1257
119,Santena,1257
120,Torino,1272
121,Torino,1272
122,Torino,1272
123,Torino,1272
124,Torino,1272
125,Torino,1272
